GAME_ID	DATE	HOME_TEAM	AWAY_TEAM	HOME_SCORE	AWAY_SCORE	GAME_TYPE
373	8/27/16	Sky Blue FC	Chicago Red Stars			Regular Season
374	8/28/16	FC Kansas City	Boston Breakers			Regular Season
375	8/31/16	Boston Breakers	Houston Dash			Regular Season
376	9/3/16	Washington Spirit	Western New York Flash			Regular Season
377	9/3/16	Houston Dash	Orlando Pride			Regular Season
378	9/4/16	FC Kansas City	Sky Blue FC			Regular Season
379	9/4/16	Portland Thorns FC	Boston Breakers			Regular Season
380	9/4/16	Chicago Red Stars	Seattle Reign FC			Regular Season
381	9/7/16	Washington Spirit	Seattle Reign FC			Regular Season
382	9/7/16	Chicago Red Stars	FC Kansas City			Regular Season
383	9/7/16	Sky Blue FC	Orlando Pride			Regular Season
384	9/7/16	Portland Thorns FC	Houston Dash			Regular Season
385	9/8/16	Boston Breakers	Western New York Flash			Regular Season
386	9/10/16	Orlando Pride	Sky Blue FC			Regular Season
387	9/11/16	FC Kansas City	Chicago Red Stars			Regular Season
388	9/11/16	Houston Dash	Boston Breakers			Regular Season
389	9/11/16	Seattle Reign FC	Washington Spirit			Regular Season
390	9/11/16	Portland Thorns FC	Western New York Flash			Regular Season
391	9/24/16	Orlando Pride	FC Kansas City			Regular Season
392	9/24/16	Boston Breakers	Western New York Flash			Regular Season
393	9/24/16	Chicago Red Stars	Washington Spirit			Regular Season
394	9/25/16	Houston Dash	Seattle Reign FC			Regular Season
395	9/25/16	Sky Blue FC	Portland Thorns FC			Regular Season
396						Semifinal
397						Semifinal
398						Final
